"path","line","column","excerpt"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1613","56","msg = f""{msg} \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d {who}"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1818","71","op = AppState.get_active_op_period() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1820","36","op = ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1822","73","role = AppState.get_active_user_role() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1824","38","role = ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1964","40","""""""Open the Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard (modeless) using the new QWidget."""""""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1972","63","QMessageBox.warning(self, ""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"", f""Widget unavailable.\n{e}"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1983","66","self._open_dock_widget(widget, title=""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2000","71","op = AppState.get_active_op_period() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2002","36","op = ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2004","73","role = AppState.get_active_user_role() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2006","38","role = ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2024","65","self._open_dock_widget(panel, title=""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Data Manager"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2132","56","""""""Create/show the Public Affairs \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard as a modeless widget."
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2143","72","QMessageBox.warning(self, ""Public Affairs \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"", f""Widget unavailable.\n{e}"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2159","55","w.setWindowTitle(""Public Affairs \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2172","71","op = AppState.get_active_op_period() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2173","73","role = AppState.get_active_user_role() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2204","48","""""""Open the Finance/Admin \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard (modeless) and enable auto-refresh."""""""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2225","74","self._open_dock_widget(widget, title=""Finance/Admin \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2285","71","op = AppState.get_active_op_period() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","2287","36","op = ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
